Rotten tomato score
91
97
94
96
93
92
79
91
87
71
95
96
88
94
82
94
88
93
93
97
79
90
98
76
93
95
83
75
93
98
89
96
78
88
88
90
81
92
100
89
83
68
93
92
94
73
85
84
74
-
86
90
99
90
98
80
80
84
100
83
96
97
91
83
90
89
91
85
87
94
77
86
84
-
88
75
96
87
95
90
94
99
88
89
88
98
92
84
90
82
98
100
82
95
96
80
71
72
91
96
66
92
96
67
88
83
96
79
77
93
38
73
90
77
96
65
87
90
88
99
82
95
83
76
80
90
81
68
64
61
69
86
76
65
77
88
84
49
34
75
91
67
79
81
89
85
84
86
80
96
61
73
58
94
95
78
63
87
73
82
86
87
72
94
83
59
77
86
55
78
88
84
69
-
89
91
61
90
82
80
93
95
88
93
26
85
74
80
90
46
41
87
-
83
68
53
83
86
82
76
70
91
81
84
67
94
68
53
89
86
35
87
63
89
64
91
63
79
93
87
41
52
89
39
84
62
75
84
49
62
86
48
86
-
73
68
95
92
64
77
80
82
70
79
98
85
55
68
50
-
72
70
81
57
83
66
85
71
56
48
44
93
83
78
76
64
56
69
67
82
25
68
73
69
86
85
46
61
-
58
52
64
75
58
82
67
61
73
72
52
31
84
68
37
78
25
72
76
87
51
