Metascore
81        
100        
84        
90        
94        
94        
66        
92        
74        
82        
87        
90        
73        
82 
-       
65        
91        
61        
90        
75        
87        
67        
85        
89        
66       
- 
88        
85        
62        
68        
80        
84        
-    
69        
70        
68        
77        
76        
79        
65        
84        
-    
95        
69        
63        
92       
-     
68        
72        
62        
69        
-    
70        
64        
82        
90        
97        
91        
63        
-    
81        
84        
71        
75        
87        
70        
73        
86        
79      
-      
79        
79        
88        
80        
74        
79        
-    
83        
95        
74        
77        
75      
-      
82        
82        
79        
91        
84        
74        
84        
82        
76        
68        
81        
79        
80        
88        
83        
-    
71        
95        
70        
81        
88        
71        
89        
63        
81        
74        
87        
73        
65        
76        
69        
78        
74        
-    
77        
75        
70        
76        
87        
73        
72        
67        
71        
73        
68        
65        
64        
76        
66        
66        
76        
78        
-    
66        
70        
68        
76        
-    
73        
71        
74        
76        
68        
76        
62        
68        
77        
83        
71        
-    
73        
69        
69        
71        
64        
72        
81        
61        
77        
74        
62        
77        
69        
99        
73        
73        
63        
65        
83        
71        
78        
81        
-    
68        
71        
74        
68        
65        
66        
70        
64        
63        
71        
74        
83        
62        
78        
75        
-    
83        
73        
64        
79        
66        
65        
76        
78        
80        
64        
63        
68        
-    
77        
81        
63        
71        
74        
81        
64   
-         
62        
65        
78        
78        
61        
64        
69        
70        
65        
73        
-    
96        
85        
68        
69        
73        
75        
67        
70      
-      
65        
67        
69        
66        
61        
-    
64        
61        
64        
71        
68        
73        
-    
70        
64        
74        
65        






































